ԱԲԲԱՀԱՅՐ	Abbot.
ԱԲԲԱՅ	Abbot, father.
ԱԲԲԱՅԱԿԱՆ	Abbatial.
ԱԲԲԱՅԱՐԱՆ	Abbacy.
ԱԲԵԹ	Amadou, touchwood.
ԱԲԵՂԱՅ	Monk, friar.
ԱԲԵՂԱՆՈՑ	Monkery, monastery.
ԱԳԱՔ	Avaricious, miser, stingy.
ԱԳԱՔՈՒԹԻՒՆ	Avarice, stinginess, greed.
ԱԳԱՏ	Colure, cropped, curtailed.
ԱԳԱՐԱԿ	Farm, field.
ԱԳԱՐԱԿԱՊԱՆ	Farmer.
ԱԳԵՎԱԶ	Kangaroo
ԱԳԻ	Tail.
ԱԳՈՅՑ	Link, ring.
ԱԳՈՒՌ	Palm, brick.
ԱԳՈՒՆՑԱՆԵԼ	to fit in, to join, to enchase.
ԱԳՌԱՒ	Crow, raven.
ԱԴԱՄԱԹՈՒԶ	Banana.
ԱԴԱՄԱՆԴ	Diamond.
ԱԶԱԶՈՒՆ	Dessicated, dried up, arid.
ԱԶԱՏ	Free, independent, redeemed.
ԱԶԱՏԱԳՐԱԿԱՆ	Emancipatory, liberation (used attributively).
ԱԶԱՏԱԳՐԵԼ	To set free, to emancipate.
ԱԶԱՏԱԿԱՆ	Liberal, generous.
ԱԶԱՏԱՄԻՏ	Liberel, freedom-loving.
ԱԶԱՏԱՏԵՆՉ	Freedom-loving.
ԱԶԱՏԱՐԱՐ	Savior.
ԱԶԱՏԵԼ	To save, to deliver, to free.
ԱԶԱՏԻԼ	To escape, to be saved.
ԱԶԱՏՈՒՄ	Delivery, release.
ԱԶԱՏՈՒԹԻՒՆ	Liberty, freedom, independence.
ԱԶԱՏՔԵՂ	Parsley.
ԱԶԱՐԻՈՆ	Tansy, costmary.
ԱԶԳ	Nation, people, genus, kind.
ԱԶԳԱԲԱՆ	Genealogist, ethnologist.
ԱԶԳԱԲԱՆՈՒԹԻՒՆ	Genealogy, ethnology.
ԱԶԳԱԿԱՆ	Relative, kin, kinsman.
ԱԶԳԱԿԱՆՈՒԹԻՒՆ	Relation, kin, consanguinity.
ԱԶԳԱԿԻՑ	Kinsfolk, kindred, of the same nation.
ԱԶԳԱՀԱՄԱՐ	Genealogy, census, enumeration.
ԱԶԳԱՅԻՆ	National.
ԱԶԱՅՆԱՄՈԼ	Nationalist.
ԱԶԳԱՅՆԱՄՈԼՈՒԹԻՒՆ	Nationalism.
ԱԶԳԱՅՆՈՒԹԻՒՆ	Nationality.
ԱԶԳԱՆՈՒՆ	Name, sirname.
ԱԶԳԱՊԵՏ	Ethnarch, chief.
ԱԶԳԱՍԷՐ	Patriot, loving his nation.
ԱԶԳԱՊԱՀՊԱՆՈՒՄ	Preservation of national values.
ԱԶԳՈՒԹԻՒՆ	Nationality.
ԱԶԴ	Notice, announcement, advertisement.
ԱԶԴԱՆՇԱՆ	Signal, sign.
ԱԶԴԱԿ	Factor, reason.
ԱԶԴԱՐԱՐ	Monitor, advisor.
ԱԶԴԱՐԱՐԵԼ	To warn.
ԱԶԴԱՐԱՐՈՒԹԻՒՆ	Notice, summation, advice, warning.
ԱԶԴԵԼ	To influence, to effect.
ԱԶԴԵՑԻԿ	Influential, energetic, efficacious.
ԱԶԴԵՑՈՒԹԻՒՆ	Influence, effect, power.
ԱԶԴՈՂԱԲԱՐ	Efficaciously.
ԱԶԴՈՒ	Efficacious, emphatic, strong.
ԱԶԴՈՒՄ	Infuence, sensation, suggestion.
ԱԶԴՐ	Thigh, back.
ԱԶՆ	Nation, people.
ԱԶՆԻՒ	Noble, gentle, fine, good, genteel.
ԱԶՆՈՒԱԲԱՐ	Nobly, genteelly, civilly.
ԱԶՆՈՒԱԲԱՐՈՅ	Good-tempered, civil, well mannered.
